"agreement_label","agreement_confidence","comment_id","topic","error"
"Agree",0.92,"climate_comment_262047","Climate Change Denial And Political Polarization",NA
"Disagree",0.95,"climate_comment_236814","Climate Change Denial And Political Polarization",NA
"Disagree",0.92,"climate_comment_220682","Global Climate Change And Sustainability",NA
"Agree",0.85,"climate_comment_177840","Global Climate Change And Sustainability",NA
"Agree",0.92,"climate_comment_174035","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.75,"climate_comment_220683","Global Climate Change And Sustainability",NA
"Disagree",0.85,"climate_comment_220681","Global Climate Change And Sustainability",NA
"Disagree",0.85,"climate_comment_165062","Climate Change Denial And Political Polarization",NA
"Disagree",0.85,"climate_comment_165063","Global Climate Change And Sustainability",NA
"Agree",0.92,"climate_comment_177841","Global Climate Change And Sustainability",NA
"Disagree",0.85,"climate_comment_236812","Climate Change Denial And Political Polarization",NA
"Agree",0.85,"climate_comment_179360","Global Climate Change And Sustainability",NA
"Agree",0.92,"climate_comment_273744","Global Climate Change And Sustainability",NA
"Agree",0.88,"climate_comment_227194","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.85,"climate_comment_227193","Global Climate Change And Sustainability",NA
"Neither/Unclear",0.9,"climate_comment_167855","Climate Change Denial And Political Polarization",NA
"Agree",0.9,"climate_comment_205427","Global Climate Change And Sustainability",NA
"Agree",0.88,"climate_comment_218129","Global Climate Change And Sustainability",NA
"Agree",0.9,"climate_comment_277393","Climate Change Denial And Political Polarization",NA
"Mixed/Ambiguous",0.65,"climate_comment_181167","Climate Change Denial And Political Polarization",NA
"Mixed/Ambiguous",0.75,"climate_comment_244148","Global Climate Change And Sustainability",NA
"Disagree",0.85,"climate_comment_271353","Climate Change Denial And Political Polarization",NA
"Neither/Unclear",0.88,"climate_comment_179361","Global Climate Change And Sustainability",NA
"Agree",0.92,"climate_comment_186668","Climate Change Denial And Political Polarization",NA
"Agree",0.92,"climate_comment_244151","Global Climate Change And Sustainability",NA
"Mixed/Ambiguous",0.85,"climate_comment_186669","Climate Change Denial And Political Polarization",NA
"Mixed/Ambiguous",0.75,"climate_comment_247869","Global Climate Change And Sustainability",NA
